# file...... output/IEEE_123_feeder_0_swing_node.csv,,,,,,,
# date...... Thu Nov  1 09:19:54 2018,,,,,,,
# user...... gkris756,,,,,,,
# host...... (null),,,,,,,
# target.... meter 187,,,,,,,
# trigger... (none),,,,,,,
# interval.. 30,,,,,,,
# limit..... 0,,,,,,,
# timestamp,measured_current_A,measured_current_B,measured_current_C,measured_voltage_A,measured_voltage_B,measured_voltage_C,measured_power
2013-08-28 00:00:00 PST,+205.89-49.2821j,-75.1383-78.7163j,-47.5631+154.694j,+2401.66-0.292918j,-1200.99-2079.87j,-1200.65+2080.04j,+1.12733e+06+266839j
2013-08-28 00:00:30 PST,+243.739-32.3304j,-69.7571-85.8937j,-71.2865+169.297j,+6098.84+679.914j,-2460.45-5621.85j,-3638.33+4941.77j,+3.21505e+06+807402j
2013-08-28 00:01:00 PST,+231.446-43.3988j,-72.0995-77.8812j,-58.1778+163.509j,+6128.92+419.304j,-2701.2-5517.6j,-3427.68+5098.14j,+3.0578e+06+814336j
2013-08-28 00:01:30 PST,+182.152-50.9166j,-75.6821-74.8723j,-42.3239+144.864j,+6145.27+168.297j,-2926.82-5406.21j,-3218.44+5237.82j,+2.63208e+06+778120j
2013-08-28 00:02:00 PST,+176.423-48.6859j,-73.222-72.7874j,-41.3325+136.372j,+6146.51+163.578j,-2931.52-5404.92j,-3214.98+5241.24j,+2.53212e+06+732287j
2013-08-28 00:02:30 PST,+166.679-45.7429j,-71.4334-71.3815j,-37.6206+128.42j,+6147.69+164.724j,-2931.13-5406.5j,-3216.56+5241.69j,+2.4066e+06+701519j
2013-08-28 00:03:00 PST,+161.092-43.5743j,-68.3656-69.1362j,-37.4432+131.276j,+6148.18+165.447j,-2930.75-5407.28j,-3217.41+5241.75j,+2.366e+06+687709j
2013-08-28 00:03:30 PST,+152.279-41.0892j,-68.587-69.0361j,-33.7304+120.524j,+6148.75+166.279j,-2930.32-5408.18j,-3218.42+5241.83j,+2.24416e+06+657691j
2013-08-28 00:04:00 PST,+143.988-37.2996j,-66.6855-67.4763j,-33.2688+116.557j,+6149.33+166.912j,-2930.07-5408.99j,-3219.25+5242.01j,+2.15767e+06+617222j
2013-08-28 00:04:30 PST,+149.129-40.2435j,-65.6227-66.3967j,-35.9249+119.073j,+6149.72+167.284j,-2929.93-5409.53j,-3219.78+5242.17j,+2.20168e+06+627946j
2013-08-28 00:05:00 PST,+150.133-44.661j,-69.3295-66.2829j,-33.6065+122.239j,+6599.71+20.0058j,-3282.48-5725.59j,-3317.22+5705.51j,+2.40594e+06+690885j
2013-08-28 00:05:30 PST,+146.32-43.0569j,-68.2943-65.3315j,-31.7286+118.672j,+6599.96+21.2032j,-3281.57-5726.41j,-3318.39+5705.13j,+2.34535e+06+676751j
2013-08-28 00:06:00 PST,+145.69-41.8046j,-69.3928-65.7201j,-28.4438+114.892j,+6600.05+21.2768j,-3281.55-5726.52j,-3318.5+5705.17j,+2.3146e+06+679721j
