Time,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
08/01/2021 01:00,28.44,28.4,28.39,28.79,28.93,27.42,28.98,28.83,29.21,28.38,28.88,28.77,28.77,24.59,29.2
08/01/2021 02:00,28.05,27.79,27.95,28.42,28.43,27.16,28.45,28.14,28.41,27.77,28.18,28.42,28.81,25.27,28.64
08/01/2021 03:00,24.77,24.68,24.73,24.93,24.99,24.32,25,24.85,24.99,24.67,24.87,24.93,25.05,23.34,25.19
08/01/2021 04:00,23.54,23.49,23.52,23.62,23.68,23.29,23.68,23.58,23.66,23.48,23.59,23.63,23.69,22.76,23.86
08/01/2021 05:00,23.29,23.25,23.28,23.35,23.4,23.11,23.4,23.31,23.37,23.24,23.32,23.35,23.4,22.74,23.56
08/01/2021 06:00,23.07,23.04,23.07,23.09,23.14,23,23.14,23.06,23.08,23.04,23.06,23.09,23.13,22.89,23.31
08/01/2021 07:00,26.01,25.97,26,26.03,26.02,25.98,26.02,25.98,25.98,25.97,25.98,26.03,26.09,25.97,26.05
08/01/2021 08:00,26.4,26.39,26.4,26.41,26.41,26.39,26.41,26.39,26.39,26.39,26.39,26.41,26.43,26.39,26.44
08/01/2021 09:00,27.05,27.05,27.05,27.05,27.06,27.05,27.06,27.05,27.05,27.05,27.05,27.05,27.05,27.05,27.09
08/01/2021 10:00,26.57,26.58,26.55,26.58,26.61,26.57,26.49,26.57,26.57,26.58,26.57,26.58,26.58,26.57,26.69
08/01/2021 11:00,34.37,34.42,34.3,34.46,34.61,34.39,33.91,34.4,34.38,34.42,34.39,34.46,34.47,34.4,35.12
08/01/2021 12:00,41.93,42.02,41.76,42.13,42.53,41.95,40.95,41.98,41.93,42.02,41.96,42.21,42.14,41.97,43.57
08/01/2021 13:00,46.45,46.38,46.29,46.66,47.74,46.4,45.73,46.42,46.4,46.38,46.42,47.25,46.63,46.58,48.89
08/01/2021 14:00,63.48,63.04,63.32,63.75,66.62,63.27,63.22,63.32,63.32,63.05,63.35,65.71,63.68,63.41,68.3
08/01/2021 15:00,89.25,88.53,89.19,89.53,93.98,88.63,90.05,88.89,88.91,88.54,88.95,92.96,89.45,89.42,95.59
08/01/2021 16:00,102.02,101.43,101.99,102.41,107.38,100.75,103.35,101.76,101.47,101.5,101.92,106.35,102.35,103.16,108.91
08/01/2021 17:00,88.92,89.68,88.85,89.87,94.35,85.33,90.52,89.7,87.2,89.68,90.57,93.47,89.8,86.74,95.7
08/01/2021 18:00,70.19,71.03,70.14,71.31,74.95,65.99,72.22,70.95,69.53,70.88,71.59,74.27,75.6,66.54,75.95
08/01/2021 19:00,53.67,54.92,53.61,54.66,56.48,49.82,55.03,53.58,53.47,54.74,53.74,56.07,54.72,47.35,57.14
08/01/2021 20:00,52.78,53.19,52.72,53.57,54.45,50.03,54.11,53.13,53.67,53.1,53.23,54.15,53.51,45.4,54.79
08/01/2021 21:00,48.38,48.44,48.29,49,49.2,46.51,49.2,48.99,49.59,48.4,49.08,49,48.96,42.22,49.51
08/01/2021 22:00,45.85,45.78,45.77,46.44,46.63,44.13,46.71,46.52,47.16,45.75,46.61,46.41,46.4,39.44,46.95
08/01/2021 23:00,36.03,35.99,35.98,36.41,36.56,34.9,36.62,36.46,36.88,35.97,36.52,36.4,36.39,31.9,36.86
08/02/2021 00:00,32.07,32.04,32.02,32.46,32.61,30.92,32.66,32.5,32.92,32.02,32.56,32.44,32.44,27.86,32.91
08/02/2021 01:00,27.66,27.67,27.58,28.26,28.47,25.81,28.55,28.29,28.87,27.65,28.38,28.24,28.23,21.26,28.89
08/02/2021 02:00,25.66,25.67,25.59,26.26,26.53,23.82,26.6,26.27,26.85,25.64,26.36,26.23,26.23,19.38,27.12
08/02/2021 03:00,23.79,23.79,23.71,24.33,24.55,22.11,24.62,24.35,24.87,23.77,24.43,24.3,24.3,18.17,25.03
08/02/2021 04:00,23.37,23.38,23.33,23.75,23.95,22.18,24,23.76,24.13,23.35,23.81,23.74,23.74,19.47,24.43
08/02/2021 05:00,23.5,23.5,23.47,23.76,23.91,22.68,23.94,23.77,24.02,23.49,23.8,23.76,23.75,20.81,24.28
08/02/2021 06:00,24.74,24.74,24.73,24.83,24.9,24.43,24.92,24.83,24.93,24.73,24.84,24.83,24.83,23.75,25.1
08/02/2021 07:00,27.55,27.55,27.56,27.55,27.59,27.54,27.59,27.54,27.55,27.55,27.54,27.55,27.55,27.56,27.74
08/02/2021 08:00,26.07,26.07,26.08,26.07,26.1,26.07,26.1,26.06,26.06,26.07,26.06,26.07,26.07,26.08,26.23
08/02/2021 09:00,26.67,26.66,26.68,26.66,26.76,26.65,26.76,26.64,26.65,26.65,26.64,26.67,26.67,26.67,27.12
08/02/2021 10:00,27.59,27.59,27.59,27.59,27.61,27.59,27.61,27.59,27.59,27.59,27.59,27.59,27.59,27.61,27.68
08/02/2021 11:00,32.69,32.7,32.68,32.71,32.74,32.69,32.63,32.69,32.69,32.7,32.69,32.71,32.71,32.75,32.84
08/02/2021 12:00,36.48,36.5,36.45,36.51,36.57,36.48,36.32,36.49,36.48,36.5,36.48,36.51,36.52,36.53,36.79
08/02/2021 13:00,40.14,40.18,40.09,40.18,40.28,40.18,39.84,40.16,40.14,40.18,40.15,40.19,40.19,40.72,40.56
08/02/2021 14:00,45.88,46.11,45.83,45.9,46.2,46.02,45.28,46.03,45.97,46.14,46.01,46,45.96,46.83,46.81
08/02/2021 15:00,50.27,50.78,50.18,50.32,50.86,50.4,49.21,50.42,50.38,50.81,50.38,50.5,50.39,51.64,51.91
08/02/2021 16:00,61.09,61.31,60.97,61.23,61.99,61.09,60.26,61.26,61.2,61.31,61.23,61.6,62.2,63.35,63.11
08/02/2021 17:00,63.79,65.18,63.65,64.35,65.02,61.93,63.12,63.29,62.9,65.08,63.24,64.73,64.36,66.16,65.98
08/02/2021 18:00,48.74,49.57,48.62,49.23,50.04,47.14,48.54,48.54,48.35,49.5,48.52,49.73,49.22,52.16,50.86
08/02/2021 19:00,43.02,45.33,43.04,43.64,44.04,40.02,43.18,41.91,41.35,45.1,41.85,44.11,45.56,40.91,44.31
08/02/2021 20:00,45.84,46.18,45.82,46.44,47.16,43.61,47.06,46.08,46.54,46.1,46.16,46.84,47.43,39.61,47.83
08/02/2021 21:00,44.61,44.52,44.57,45.13,45.54,43.07,45.58,45.16,45.73,44.49,45.24,45.2,45.11,38.8,46.32
08/02/2021 22:00,36.52,36.49,36.5,36.8,37.04,35.69,37.04,36.8,37.1,36.46,36.83,36.79,36.79,33.56,37.73
08/02/2021 23:00,33.8,33.81,33.79,34.06,34.3,32.98,34.29,34.04,34.28,33.79,34.07,34.06,34.06,31.04,34.98
08/03/2021 00:00,30.59,30.61,30.57,30.95,31.2,29.52,31.21,30.93,31.26,30.58,30.97,30.94,30.94,26.85,31.93
08/03/2021 01:00,27.8,27.79,27.82,27.79,27.92,27.77,27.91,27.77,27.77,27.78,27.76,27.8,27.8,27.77,28.42
08/03/2021 02:00,25.68,25.67,25.7,25.68,25.82,25.64,25.81,25.64,25.64,25.66,25.64,25.69,25.69,25.65,26.31
08/03/2021 03:00,24.12,24.12,24.15,24.12,24.27,24.09,24.24,24.09,24.09,24.11,24.09,24.13,24.14,24.09,24.84
08/03/2021 04:00,23.35,23.35,23.37,23.35,23.5,23.32,23.46,23.31,23.31,23.33,23.31,23.36,23.36,23.32,24.07
08/03/2021 05:00,23.88,23.88,23.89,23.88,23.98,23.86,23.96,23.85,23.85,23.87,23.85,23.89,23.89,23.86,24.5
08/03/2021 06:00,25.3,25.3,25.31,25.3,25.41,25.28,25.38,25.27,25.27,25.29,25.27,25.31,25.31,25.27,25.97
08/03/2021 07:00,29.94,29.94,29.95,29.94,30.05,29.91,30.02,29.91,29.91,29.93,29.9,29.95,29.95,29.91,30.62
08/03/2021 08:00,28.01,28,28.02,28.01,28.09,27.99,28.07,27.99,27.99,28,27.98,28.01,28.01,27.99,28.46
08/03/2021 09:00,27.29,27.28,27.3,27.28,27.35,27.27,27.35,27.27,27.27,27.28,27.26,27.29,27.29,27.27,27.68
08/03/2021 10:00,28.27,28.27,28.28,28.27,28.35,28.25,28.33,28.25,28.25,28.26,28.25,28.27,28.28,28.25,28.73
08/03/2021 11:00,29.92,29.96,29.85,30,30.2,29.91,29.53,29.92,29.9,29.96,29.91,30.01,30.01,29.96,30.91
08/03/2021 12:00,36.01,36.05,35.92,36.14,36.56,35.99,35.51,36.01,35.98,36.04,36,36.24,36.15,36.03,37.62
08/03/2021 13:00,38.73,38.77,38.57,38.93,39.56,38.76,37.81,38.78,38.74,38.77,38.77,39.22,38.91,38.92,40.81
08/03/2021 14:00,45.69,45.75,45.37,46.04,47.15,45.71,44,45.76,45.67,45.75,45.75,46.51,46.03,45.86,49
