Time,HB_BUSAVG,HB_HOUSTON,HB_HUBAVG,HB_NORTH,HB_PAN,HB_SOUTH,HB_WEST,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_LCRA,LZ_NORTH,LZ_RAYBN,LZ_SOUTH,LZ_WEST
08/01/2021 01:15,26.31,26.19,26.22,26.93,27.27,24.35,27.41,26.84,27.49,26.15,26.96,26.95,26.94,19.21,27.69
08/01/2021 01:30,26.68,26.6,26.62,27.05,27.26,25.49,27.34,26.99,27.39,26.58,27.08,27.06,27.06,22.41,27.51
08/01/2021 01:45,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53,24.53
08/01/2021 02:00,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09,24.09
08/01/2021 02:15,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23,25.23
08/01/2021 02:30,25.46,25.17,25.38,25.65,25.52,25.2,25.5,25.25,25.27,25.17,25.26,25.68,26.16,25.11,25.47
08/01/2021 02:45,23.85,23.49,23.67,24.83,25.22,20.94,25.42,24.45,25.39,23.44,24.65,24.87,25.17,13.94,25.79
08/01/2021 03:00,21.11,20.94,20.98,21.94,22.41,18.43,22.6,21.82,22.71,20.89,21.97,21.98,21.97,11.72,22.99
08/01/2021 03:15,20.7,20.5,20.55,21.66,22.19,17.63,22.42,21.52,22.55,20.45,21.72,21.7,21.69,9.91,22.86
08/01/2021 03:30,20.53,20.33,20.38,21.47,21.99,17.5,22.22,21.33,22.34,20.28,21.55,21.51,21.5,10.01,22.65
08/01/2021 03:45,20.29,20.09,20.14,21.25,21.78,17.21,22.01,21.1,22.13,20.03,21.31,21.28,21.27,9.53,22.45
08/01/2021 04:00,20.26,20.06,20.11,21.22,21.75,17.18,21.98,21.07,22.1,20,21.29,21.25,21.24,9.56,22.42
08/01/2021 04:15,20.58,20.38,20.43,21.57,22.12,17.4,22.36,21.42,22.48,20.32,21.64,21.61,21.6,9.64,22.82
